SL No.,Tender/RFQ ID,Tender Description,Reference No.,Department,Opening Date,Closing Date,Time left (DD:HH:MM),Portal,State,Matched Keywords,URL
2674,GEM/2026/B/7585346,GEM/2026/B/7585346 - High temperature Sintering furnace,GEM/2026/B/7585346,Ministry of Defence,,2026-06-23,Closed,GeM,National,,https://bidplus.gem.gov.in/showbidDocument/9379921
2675,GEM/2026/B/7587017,"GEM/2026/B/7587017 - Repair, Maintenance, and Installation of Plant/ Systems/Equipments (Version 2) - As per NIt; Design",GEM/2026/B/7587017,Ministry of Steel,,2026-06-23,Closed,GeM,National,,https://bidplus.gem.gov.in/showbidDocument/9381830
2676,GEM/2026/B/7587312,GEM/2026/B/7587312 - Fixed Computer Workstation,GEM/2026/B/7587312,Ministry of Science and Technology,,2026-06-23,Closed,GeM,National,,https://bidplus.gem.gov.in/showbidDocument/9382148
2677,GEM/2026/B/7588549,"GEM/2026/B/7588549 - Meteorology - Rain Gauge, Non - Recording as per IS 5225",GEM/2026/B/7588549,Ministry of Power,,2026-06-23,Closed,GeM,National,,https://bidplus.gem.gov.in/showbidDocument/9383468
2678,GEM/2026/B/7596134,GEM/2026/B/7596134 - Goods Transport Service – Per KM Based Service - As Per Scope of Work; As per Scope of Work; As p,GEM/2026/B/7596134,Ministry of Railways,,2026-06-23,Closed,GeM,National,,https://bidplus.gem.gov.in/showbidDocument/9391865
2679,GEM/2026/R/684762,"GEM/2026/R/684762 - Annual Maintenance Service - Desktops,  Laptops and Peripherals - Printer   (Monochrome , Laser  , ",GEM/2026/R/684762,Panchayats and Rural Housing Department Gujarat,,2026-06-24,00:04:32,GeM,National,,https://bidplus.gem.gov.in/showbidDocument/9492648
2680,GEM/2026/R/685404,GEM/2026/R/685404 - Professional Training Services (Version 2) - offline; Weekdays,GEM/2026/R/685404,Ministry of Defence,,2026-06-23,Closed,GeM,National,,https://bidplus.gem.gov.in/showbidDocument/9498656
2681,2026_CERWI_131260_1,RD Road to Kauchianali Road,Road Online-AGL-05/2026-27,CE RW I | RWCIRCLE-ANGUL,2026-06-22,2026-06-20,Closed,Odisha Tenders,Odisha,,https://tendersodisha.gov.in/nicgep/app
2682,2026_CERWI_131345_1,RD road _Rajgangpur to Malidihi_ to Chhaparpada Road,RWCCESNG-08 of 2026-27,CE RW I | RW-CIRCLE-SUNDARGARH,2026-06-22,2026-06-20,Closed,Odisha Tenders,Odisha,,https://tendersodisha.gov.in/nicgep/app
2683,2026_PRBHP_129753_5,"Construction Road from BandhiSahi to Express High wayBaikuntha Maharana Chhaka, Baliparbata",BID IDENTIFICATION NO. BDO Harichandanpur 1 / 2026-27,Panchayati Raj and Drinking Water Department Odisha | Zilla Parisad Keonjhar | HARICHADANPUR Block,2026-06-22,2026-06-20,Closed,Odisha Tenders,Odisha,,https://tendersodisha.gov.in/nicgep/app
2684,2026_PRBHP_129753_10,"Const. of New School Building and Boundary at Pry School Khajuria Sahi, Pancham",BID IDENTIFICATION NO. BDO Harichandanpur 1 / 2026-27,Panchayati Raj and Drinking Water Department Odisha | Zilla Parisad Keonjhar | HARICHADANPUR Block,2026-06-22,2026-06-20,Closed,Odisha Tenders,Odisha,,https://tendersodisha.gov.in/nicgep/app
2685,2026_PRBHP_129753_11,"Construction of Road from Singrai House to Bati Sahi, Panganala",BID IDENTIFICATION NO. BDO Harichandanpur 1 / 2026-27,Panchayati Raj and Drinking Water Department Odisha | Zilla Parisad Keonjhar | HARICHADANPUR Block,2026-06-22,2026-06-20,Closed,Odisha Tenders,Odisha,,https://tendersodisha.gov.in/nicgep/app
2686,2026_PRBHP_129753_12,"Construction of road from Param Ghar to SingraiGhar, Panganala",BID IDENTIFICATION NO. BDO Harichandanpur 1 / 2026-27,Panchayati Raj and Drinking Water Department Odisha | Zilla Parisad Keonjhar | HARICHADANPUR Block,2026-06-22,2026-06-20,Closed,Odisha Tenders,Odisha,,https://tendersodisha.gov.in/nicgep/app
2687,2026_WR_159857_9,"ESTIMATE FOR LINING / RELINING OF WATERCOURSES OF O/L 67700/R OF AJNALA DY , VILL- BATH DISTRICT- AMRITSAR UNDER UBDC CANAL SYSTEM.(LENGTH 1500 MTR)",NIT 04 of 2026,Department of Water Resources | Punjab Water Resources Management and Development Corporation | DE - Lining Division No. - 1 - Ferozepur,2026-06-20,2026-06-20,Closed,Punjab eProcurement,Punjab,,https://eproc.punjab.gov.in/nicgep/app
2688,2026_CERWI_131269_1,Kadabasanta chhak to Kadabasanta colony Road,Road Online-AGL-05/2026-27,CE RW I | RWCIRCLE-ANGUL,2026-06-22,2026-06-20,Closed,Odisha Tenders,Odisha,,https://tendersodisha.gov.in/nicgep/app
2689,2026_EICCL_131259_3,"SITC of Fire Fighting and Alarm System at Gynic Building (Gplus6), MKCG MCandH Berhampur",Bid Identification No.S.E.E.C (RandB) 15/2026-27,EIC-CIVIL | SE R and B Electrical,2026-06-22,2026-06-20,Closed,Odisha Tenders,Odisha,,https://tendersodisha.gov.in/nicgep/app
2690,2026_CERWI_131291_1,PWD road to Barabherenia Road,Online-AGL-05/2026-27,CE RW I | RWCIRCLE-ANGUL,2026-06-22,2026-06-20,Closed,Odisha Tenders,Odisha,,https://tendersodisha.gov.in/nicgep/app
2691,2026_CERWI_131289_1,RD Road to Kanheinagar Road,Road Online-AGL-05/2026-27,CE RW I | RWCIRCLE-ANGUL,2026-06-22,2026-06-20,Closed,Odisha Tenders,Odisha,,https://tendersodisha.gov.in/nicgep/app
2692,2026_EICCL_131259_1,"SITC of Fire Fighting and Alarm System at Administrative Building (Gplus3) MKCG MCandH, Berhampur",Bid Identification No.S.E.E.C (RandB) 15/2026-27,EIC-CIVIL | SE R and B Electrical,2026-06-22,2026-06-20,Closed,Odisha Tenders,Odisha,,https://tendersodisha.gov.in/nicgep/app
2693,2026_CERWI_131303_1,Baliposi to Kenchudi Road,Road Online-AGL-05/2026-27,CE RW I | RWCIRCLE-ANGUL,2026-06-22,2026-06-20,Closed,Odisha Tenders,Odisha,,https://tendersodisha.gov.in/nicgep/app
2694,2026_KPRIP_131305_1,Construction of Left Side RCC Box and Open Catch Water Drain at Birikala R and R Colony for the DPs of village Birikala and Gobindapur of KIP.,"CCE,KIP(KRC AND BD)-01/2026-27",Kanupur Irrigation Project | CCE-Kanupur,2026-06-22,2026-06-20,Closed,Odisha Tenders,Odisha,,https://tendersodisha.gov.in/nicgep/app
2695,2026_ZPHD_1027314_1,CONSTRUCTION RING WELL AT DULMI VILLAGE UNDER PUSTI GP,2nd Call NIT 22 of BDO_2025_26,Zilla Parishad | Zilla Parishad | Purulia | JHALDA-I,2026-06-22,2026-06-20,Closed,West Bengal Tenders,West Bengal,,https://wbtenders.gov.in/nicgep/app
2696,2026_PHED_1025530_5,repair_panel,PHE/NTKMD/e-01 of 2026-27,PHE | MECHANICAL CIRCLE - II (PHE) | NTK MECH. DIVISION,2026-06-22,2026-06-20,Closed,West Bengal Tenders,West Bengal,,https://wbtenders.gov.in/nicgep/app
2697,2026_Coop_170533_1,Contract for DismantlingFE,BCSM/DISMANTLINGFE/2026-27/01,Department of Cooperation | Sugarfed | Batala,2026-06-20,2026-06-20,Closed,Punjab eProcurement,Punjab,,https://eproc.punjab.gov.in/nicgep/app
