SL No.,Tender/RFQ ID,Tender Description,Reference No.,Department,Opening Date,Closing Date,Time left (DD:HH:MM),Portal,State,Matched Keywords,URL
262,316274,04 of 2026-27 - Roads and Buildings-Roads and Buildings-Panchayat-Surat,04 of 2026-27,Roads and Buildings-Roads and Buildings-Panchayat-Surat,,2026-06-30,06:04:32,nProcure,Gujarat,,https://tender.nprocure.com/dashboard/getTenderClosingData
263,316273,04 of 2026-27 - Roads and Buildings-Roads and Buildings-Panchayat-Surat,04 of 2026-27,Roads and Buildings-Roads and Buildings-Panchayat-Surat,,2026-06-30,06:04:32,nProcure,Gujarat,,https://tender.nprocure.com/dashboard/getTenderClosingData
264,316272,04 of 2026-27 - Roads and Buildings-Roads and Buildings-Panchayat-Surat,04 of 2026-27,Roads and Buildings-Roads and Buildings-Panchayat-Surat,,2026-06-30,06:04:32,nProcure,Gujarat,,https://tender.nprocure.com/dashboard/getTenderClosingData
265,316271,04 of 2026-27 - Roads and Buildings-Roads and Buildings-Panchayat-Surat,04 of 2026-27,Roads and Buildings-Roads and Buildings-Panchayat-Surat,,2026-06-30,06:04:32,nProcure,Gujarat,,https://tender.nprocure.com/dashboard/getTenderClosingData
266,316270,04 of 2026-27 - Roads and Buildings-Roads and Buildings-Panchayat-Surat,04 of 2026-27,Roads and Buildings-Roads and Buildings-Panchayat-Surat,,2026-06-30,06:04:32,nProcure,Gujarat,,https://tender.nprocure.com/dashboard/getTenderClosingData
267,316269,04 of 2026-27 - Roads and Buildings-Roads and Buildings-Panchayat-Surat,04 of 2026-27,Roads and Buildings-Roads and Buildings-Panchayat-Surat,,2026-06-30,06:04:32,nProcure,Gujarat,,https://tender.nprocure.com/dashboard/getTenderClosingData
268,316128,04 of 2026-27 - Roads and Buildings-Roads and Buildings-Panchayat-Surat,04 of 2026-27,Roads and Buildings-Roads and Buildings-Panchayat-Surat,,2026-06-30,06:04:32,nProcure,Gujarat,,https://tender.nprocure.com/dashboard/getTenderClosingData
269,316108,04 of 2026-27 - Roads and Buildings-Roads and Buildings-Panchayat-Surat,04 of 2026-27,Roads and Buildings-Roads and Buildings-Panchayat-Surat,,2026-06-30,06:04:32,nProcure,Gujarat,,https://tender.nprocure.com/dashboard/getTenderClosingData
270,316026,04 of 2026-27 - Roads and Buildings-Roads and Buildings-Panchayat-Surat,04 of 2026-27,Roads and Buildings-Roads and Buildings-Panchayat-Surat,,2026-06-30,06:04:32,nProcure,Gujarat,,https://tender.nprocure.com/dashboard/getTenderClosingData
271,316014,04 of 2026-27 - Roads and Buildings-Roads and Buildings-Panchayat-Surat,04 of 2026-27,Roads and Buildings-Roads and Buildings-Panchayat-Surat,,2026-06-30,06:04:32,nProcure,Gujarat,,https://tender.nprocure.com/dashboard/getTenderClosingData
272,316009,04 of 2026-27 - Roads and Buildings-Roads and Buildings-Panchayat-Surat,04 of 2026-27,Roads and Buildings-Roads and Buildings-Panchayat-Surat,,2026-06-30,06:04:32,nProcure,Gujarat,,https://tender.nprocure.com/dashboard/getTenderClosingData
273,316002,04 of 2026-27 - Roads and Buildings-Roads and Buildings-Panchayat-Surat,04 of 2026-27,Roads and Buildings-Roads and Buildings-Panchayat-Surat,,2026-06-30,06:04:32,nProcure,Gujarat,,https://tender.nprocure.com/dashboard/getTenderClosingData
274,314633,04 of 2026-27 - Roads and Buildings-Roads and Buildings-Panchayat-Surat,04 of 2026-27,Roads and Buildings-Roads and Buildings-Panchayat-Surat,,2026-06-30,06:04:32,nProcure,Gujarat,,https://tender.nprocure.com/dashboard/getTenderClosingData
275,314351,04 of 2026-27 - Roads and Buildings-Roads and Buildings-Panchayat-Surat,04 of 2026-27,Roads and Buildings-Roads and Buildings-Panchayat-Surat,,2026-06-30,06:04:32,nProcure,Gujarat,,https://tender.nprocure.com/dashboard/getTenderClosingData
276,314339,04 of 2026-27 - Roads and Buildings-Roads and Buildings-Panchayat-Surat,04 of 2026-27,Roads and Buildings-Roads and Buildings-Panchayat-Surat,,2026-06-30,06:04:32,nProcure,Gujarat,,https://tender.nprocure.com/dashboard/getTenderClosingData
277,314304,04 of 2026-27 - Roads and Buildings-Roads and Buildings-Panchayat-Surat,04 of 2026-27,Roads and Buildings-Roads and Buildings-Panchayat-Surat,,2026-06-30,06:04:32,nProcure,Gujarat,,https://tender.nprocure.com/dashboard/getTenderClosingData
278,314297,04 of 2026-27 - Roads and Buildings-Roads and Buildings-Panchayat-Surat,04 of 2026-27,Roads and Buildings-Roads and Buildings-Panchayat-Surat,,2026-06-30,06:04:32,nProcure,Gujarat,,https://tender.nprocure.com/dashboard/getTenderClosingData
279,313865,04 2026-27 - Roads and Buildings-Roads and Buildings-Panchayat-Surat,04 2026-27,Roads and Buildings-Roads and Buildings-Panchayat-Surat,,2026-06-30,06:04:32,nProcure,Gujarat,,https://tender.nprocure.com/dashboard/getTenderClosingData
280,316856,19-2026/2027 - Roads and Buildings-Roads and Buildings-Panchayat-Bhuj,19-2026/2027,Roads and Buildings-Roads and Buildings-Panchayat-Bhuj,,2026-06-30,06:04:32,nProcure,Gujarat,,https://tender.nprocure.com/dashboard/getTenderClosingData
281,316692,19-2026/2027 - Roads and Buildings-Roads and Buildings-Panchayat-Bhuj,19-2026/2027,Roads and Buildings-Roads and Buildings-Panchayat-Bhuj,,2026-06-30,06:04:32,nProcure,Gujarat,,https://tender.nprocure.com/dashboard/getTenderClosingData
282,316690,19-2026/2027 - Roads and Buildings-Roads and Buildings-Panchayat-Bhuj,19-2026/2027,Roads and Buildings-Roads and Buildings-Panchayat-Bhuj,,2026-06-30,06:04:32,nProcure,Gujarat,,https://tender.nprocure.com/dashboard/getTenderClosingData
283,316669,19-2026/2027 - Roads and Buildings-Roads and Buildings-Panchayat-Bhuj,19-2026/2027,Roads and Buildings-Roads and Buildings-Panchayat-Bhuj,,2026-06-30,06:04:32,nProcure,Gujarat,,https://tender.nprocure.com/dashboard/getTenderClosingData
284,313637,16-2026/2027 - Roads and Buildings-Roads and Buildings-Panchayat-Bhuj,16-2026/2027,Roads and Buildings-Roads and Buildings-Panchayat-Bhuj,,2026-06-30,06:04:32,nProcure,Gujarat,,https://tender.nprocure.com/dashboard/getTenderClosingData
285,313513,16-2026/2027 - Roads and Buildings-Roads and Buildings-Panchayat-Bhuj,16-2026/2027,Roads and Buildings-Roads and Buildings-Panchayat-Bhuj,,2026-06-30,06:04:32,nProcure,Gujarat,,https://tender.nprocure.com/dashboard/getTenderClosingData
286,313494,16-2026/2027 - Roads and Buildings-Roads and Buildings-Panchayat-Bhuj,16-2026/2027,Roads and Buildings-Roads and Buildings-Panchayat-Bhuj,,2026-06-30,06:04:32,nProcure,Gujarat,,https://tender.nprocure.com/dashboard/getTenderClosingData
287,313485,16-2026/2027 - Roads and Buildings-Roads and Buildings-Panchayat-Bhuj,16-2026/2027,Roads and Buildings-Roads and Buildings-Panchayat-Bhuj,,2026-06-30,06:04:32,nProcure,Gujarat,,https://tender.nprocure.com/dashboard/getTenderClosingData
288,313313,16-2026/2027 - Roads and Buildings-Roads and Buildings-Panchayat-Bhuj,16-2026/2027,Roads and Buildings-Roads and Buildings-Panchayat-Bhuj,,2026-06-30,06:04:32,nProcure,Gujarat,,https://tender.nprocure.com/dashboard/getTenderClosingData
289,313289,16-2026/2027 - Roads and Buildings-Roads and Buildings-Panchayat-Bhuj,16-2026/2027,Roads and Buildings-Roads and Buildings-Panchayat-Bhuj,,2026-06-30,06:04:32,nProcure,Gujarat,,https://tender.nprocure.com/dashboard/getTenderClosingData
290,313276,16-2026/2027 - Roads and Buildings-Roads and Buildings-Panchayat-Bhuj,16-2026/2027,Roads and Buildings-Roads and Buildings-Panchayat-Bhuj,,2026-06-30,06:04:32,nProcure,Gujarat,,https://tender.nprocure.com/dashboard/getTenderClosingData
291,312988,16-2026/2027 - Roads and Buildings-Roads and Buildings-Panchayat-Bhuj,16-2026/2027,Roads and Buildings-Roads and Buildings-Panchayat-Bhuj,,2026-06-30,06:04:32,nProcure,Gujarat,,https://tender.nprocure.com/dashboard/getTenderClosingData
292,312986,16-2026/2027 - Roads and Buildings-Roads and Buildings-Panchayat-Bhuj,16-2026/2027,Roads and Buildings-Roads and Buildings-Panchayat-Bhuj,,2026-06-30,06:04:32,nProcure,Gujarat,,https://tender.nprocure.com/dashboard/getTenderClosingData
293,312985,16-2026/2027 - Roads and Buildings-Roads and Buildings-Panchayat-Bhuj,16-2026/2027,Roads and Buildings-Roads and Buildings-Panchayat-Bhuj,,2026-06-30,06:04:32,nProcure,Gujarat,,https://tender.nprocure.com/dashboard/getTenderClosingData
294,312984,16-2026/2027 - Roads and Buildings-Roads and Buildings-Panchayat-Bhuj,16-2026/2027,Roads and Buildings-Roads and Buildings-Panchayat-Bhuj,,2026-06-30,06:04:32,nProcure,Gujarat,,https://tender.nprocure.com/dashboard/getTenderClosingData
295,312944,16-2026/2027 - Roads and Buildings-Roads and Buildings-Panchayat-Bhuj,16-2026/2027,Roads and Buildings-Roads and Buildings-Panchayat-Bhuj,,2026-06-30,06:04:32,nProcure,Gujarat,,https://tender.nprocure.com/dashboard/getTenderClosingData
296,312912,16-2026/2027 - Roads and Buildings-Roads and Buildings-Panchayat-Bhuj,16-2026/2027,Roads and Buildings-Roads and Buildings-Panchayat-Bhuj,,2026-06-30,06:04:32,nProcure,Gujarat,,https://tender.nprocure.com/dashboard/getTenderClosingData
297,312885,16-2026/2027 - Roads and Buildings-Roads and Buildings-Panchayat-Bhuj,16-2026/2027,Roads and Buildings-Roads and Buildings-Panchayat-Bhuj,,2026-06-30,06:04:32,nProcure,Gujarat,,https://tender.nprocure.com/dashboard/getTenderClosingData
298,312836,16-2026/2027 - Roads and Buildings-Roads and Buildings-Panchayat-Bhuj,16-2026/2027,Roads and Buildings-Roads and Buildings-Panchayat-Bhuj,,2026-06-30,06:04:32,nProcure,Gujarat,,https://tender.nprocure.com/dashboard/getTenderClosingData
299,314517,02/2026-27 - Roads and Buildings-Roads and Buildings-Panchayat Road & Building Arvalli,02/2026-27,Roads and Buildings-Roads and Buildings-Panchayat Road & Building Arvalli,,2026-06-30,06:04:32,nProcure,Gujarat,,https://tender.nprocure.com/dashboard/getTenderClosingData
300,314511,02/2026-27 - Roads and Buildings-Roads and Buildings-Panchayat Road & Building Arvalli,02/2026-27,Roads and Buildings-Roads and Buildings-Panchayat Road & Building Arvalli,,2026-06-30,06:04:32,nProcure,Gujarat,,https://tender.nprocure.com/dashboard/getTenderClosingData
301,314506,02/2026-27 - Roads and Buildings-Roads and Buildings-Panchayat Road & Building Arvalli,02/2026-27,Roads and Buildings-Roads and Buildings-Panchayat Road & Building Arvalli,,2026-06-30,06:04:32,nProcure,Gujarat,,https://tender.nprocure.com/dashboard/getTenderClosingData
302,314501,02/2026-27 - Roads and Buildings-Roads and Buildings-Panchayat Road & Building Arvalli,02/2026-27,Roads and Buildings-Roads and Buildings-Panchayat Road & Building Arvalli,,2026-06-30,06:04:32,nProcure,Gujarat,,https://tender.nprocure.com/dashboard/getTenderClosingData
303,314481,02/2026-27 - Roads and Buildings-Roads and Buildings-Panchayat Road & Building Arvalli,02/2026-27,Roads and Buildings-Roads and Buildings-Panchayat Road & Building Arvalli,,2026-06-30,06:04:32,nProcure,Gujarat,,https://tender.nprocure.com/dashboard/getTenderClosingData
304,314432,02/2026-27 - Roads and Buildings-Roads and Buildings-Panchayat Road & Building Arvalli,02/2026-27,Roads and Buildings-Roads and Buildings-Panchayat Road & Building Arvalli,,2026-06-30,06:04:32,nProcure,Gujarat,,https://tender.nprocure.com/dashboard/getTenderClosingData
305,314403,02/2026-27 - Roads and Buildings-Roads and Buildings-Panchayat Road & Building Arvalli,02/2026-27,Roads and Buildings-Roads and Buildings-Panchayat Road & Building Arvalli,,2026-06-30,06:04:32,nProcure,Gujarat,,https://tender.nprocure.com/dashboard/getTenderClosingData
306,314373,02/2026-27 - Roads and Buildings-Roads and Buildings-Panchayat Road & Building Arvalli,02/2026-27,Roads and Buildings-Roads and Buildings-Panchayat Road & Building Arvalli,,2026-06-30,06:04:32,nProcure,Gujarat,,https://tender.nprocure.com/dashboard/getTenderClosingData
307,314348,02/2026-27 - Roads and Buildings-Roads and Buildings-Panchayat Road & Building Arvalli,02/2026-27,Roads and Buildings-Roads and Buildings-Panchayat Road & Building Arvalli,,2026-06-30,06:04:32,nProcure,Gujarat,,https://tender.nprocure.com/dashboard/getTenderClosingData
308,314335,02/2026-27 - Roads and Buildings-Roads and Buildings-Panchayat Road & Building Arvalli,02/2026-27,Roads and Buildings-Roads and Buildings-Panchayat Road & Building Arvalli,,2026-06-30,06:04:32,nProcure,Gujarat,,https://tender.nprocure.com/dashboard/getTenderClosingData
309,314326,02/2026-27 - Roads and Buildings-Roads and Buildings-Panchayat Road & Building Arvalli,02/2026-27,Roads and Buildings-Roads and Buildings-Panchayat Road & Building Arvalli,,2026-06-30,06:04:32,nProcure,Gujarat,,https://tender.nprocure.com/dashboard/getTenderClosingData
310,314319,02/2026-27 - Roads and Buildings-Roads and Buildings-Panchayat Road & Building Arvalli,02/2026-27,Roads and Buildings-Roads and Buildings-Panchayat Road & Building Arvalli,,2026-06-30,06:04:32,nProcure,Gujarat,,https://tender.nprocure.com/dashboard/getTenderClosingData
311,314308,02/2026-27 - Roads and Buildings-Roads and Buildings-Panchayat Road & Building Arvalli,02/2026-27,Roads and Buildings-Roads and Buildings-Panchayat Road & Building Arvalli,,2026-06-30,06:04:32,nProcure,Gujarat,,https://tender.nprocure.com/dashboard/getTenderClosingData
312,314291,02/2026-27 - Roads and Buildings-Roads and Buildings-Panchayat Road & Building Arvalli,02/2026-27,Roads and Buildings-Roads and Buildings-Panchayat Road & Building Arvalli,,2026-06-30,06:04:32,nProcure,Gujarat,,https://tender.nprocure.com/dashboard/getTenderClosingData
313,314257,02/2026-27 - Roads and Buildings-Roads and Buildings-Panchayat Road & Building Arvalli,02/2026-27,Roads and Buildings-Roads and Buildings-Panchayat Road & Building Arvalli,,2026-06-30,06:04:32,nProcure,Gujarat,,https://tender.nprocure.com/dashboard/getTenderClosingData
314,315858,"Tender Notice No.5/2026-27, Sr.No.19 - Roads and Buildings-Roads and Buildings-Panchayat Division Amreli","Tender Notice No.5/2026-27, Sr.No.19",Roads and Buildings-Roads and Buildings-Panchayat Division Amreli,,2026-06-30,06:04:32,nProcure,Gujarat,,https://tender.nprocure.com/dashboard/getTenderClosingData
315,315857,"Tender Notice No.5/2026-27, Sr.No.18 - Roads and Buildings-Roads and Buildings-Panchayat Division Amreli","Tender Notice No.5/2026-27, Sr.No.18",Roads and Buildings-Roads and Buildings-Panchayat Division Amreli,,2026-06-30,06:04:32,nProcure,Gujarat,,https://tender.nprocure.com/dashboard/getTenderClosingData
316,315856,"Tender Notice No.5/2026-27, Sr.No.17 - Roads and Buildings-Roads and Buildings-Panchayat Division Amreli","Tender Notice No.5/2026-27, Sr.No.17",Roads and Buildings-Roads and Buildings-Panchayat Division Amreli,,2026-06-30,06:04:32,nProcure,Gujarat,,https://tender.nprocure.com/dashboard/getTenderClosingData
317,315855,"Tender Nivida No.16, Sr.No.16 - Roads and Buildings-Roads and Buildings-Panchayat Division Amreli","Tender Nivida No.16, Sr.No.16",Roads and Buildings-Roads and Buildings-Panchayat Division Amreli,,2026-06-30,06:04:32,nProcure,Gujarat,,https://tender.nprocure.com/dashboard/getTenderClosingData
318,315854,"Tender Notice No.5/2026-27, Sr.No.15 - Roads and Buildings-Roads and Buildings-Panchayat Division Amreli","Tender Notice No.5/2026-27, Sr.No.15",Roads and Buildings-Roads and Buildings-Panchayat Division Amreli,,2026-06-30,06:04:32,nProcure,Gujarat,,https://tender.nprocure.com/dashboard/getTenderClosingData
319,315853,"Tender Notice No.5/2026-27, Sr.No.14 - Roads and Buildings-Roads and Buildings-Panchayat Division Amreli","Tender Notice No.5/2026-27, Sr.No.14",Roads and Buildings-Roads and Buildings-Panchayat Division Amreli,,2026-06-30,06:04:32,nProcure,Gujarat,,https://tender.nprocure.com/dashboard/getTenderClosingData
320,315852,"Tender Notice No.5/2026-27, Sr.No.13 - Roads and Buildings-Roads and Buildings-Panchayat Division Amreli","Tender Notice No.5/2026-27, Sr.No.13",Roads and Buildings-Roads and Buildings-Panchayat Division Amreli,,2026-06-30,06:04:32,nProcure,Gujarat,,https://tender.nprocure.com/dashboard/getTenderClosingData
321,315494,"Tender Notice No.5/2026-27, Sr.No.12 - Roads and Buildings-Roads and Buildings-Panchayat Division Amreli","Tender Notice No.5/2026-27, Sr.No.12",Roads and Buildings-Roads and Buildings-Panchayat Division Amreli,,2026-06-30,06:04:32,nProcure,Gujarat,,https://tender.nprocure.com/dashboard/getTenderClosingData
322,315493,"Tender Notice No.5/2026-27, Sr.No.11 - Roads and Buildings-Roads and Buildings-Panchayat Division Amreli","Tender Notice No.5/2026-27, Sr.No.11",Roads and Buildings-Roads and Buildings-Panchayat Division Amreli,,2026-06-30,06:04:32,nProcure,Gujarat,,https://tender.nprocure.com/dashboard/getTenderClosingData
323,315491,"Tender Notice No.5/2026-27, Sr.No.10 - Roads and Buildings-Roads and Buildings-Panchayat Division Amreli","Tender Notice No.5/2026-27, Sr.No.10",Roads and Buildings-Roads and Buildings-Panchayat Division Amreli,,2026-06-30,06:04:32,nProcure,Gujarat,,https://tender.nprocure.com/dashboard/getTenderClosingData
324,315490,"Tender Notice NO.5/2026-27, Sr.No.9 - Roads and Buildings-Roads and Buildings-Panchayat Division Amreli","Tender Notice NO.5/2026-27, Sr.No.9",Roads and Buildings-Roads and Buildings-Panchayat Division Amreli,,2026-06-30,06:04:32,nProcure,Gujarat,,https://tender.nprocure.com/dashboard/getTenderClosingData
325,315486,"Tender Notice No.8/2026-27, Sr.No.8 - Roads and Buildings-Roads and Buildings-Panchayat Division Amreli","Tender Notice No.8/2026-27, Sr.No.8",Roads and Buildings-Roads and Buildings-Panchayat Division Amreli,,2026-06-30,06:04:32,nProcure,Gujarat,,https://tender.nprocure.com/dashboard/getTenderClosingData
326,315485,"Tender Notice No.5/2026-27, Sr.No.7 - Roads and Buildings-Roads and Buildings-Panchayat Division Amreli","Tender Notice No.5/2026-27, Sr.No.7",Roads and Buildings-Roads and Buildings-Panchayat Division Amreli,,2026-06-30,06:04:32,nProcure,Gujarat,,https://tender.nprocure.com/dashboard/getTenderClosingData
327,315483,"Tender Notice No.5/2026-27, Sr.No.6 - Roads and Buildings-Roads and Buildings-Panchayat Division Amreli","Tender Notice No.5/2026-27, Sr.No.6",Roads and Buildings-Roads and Buildings-Panchayat Division Amreli,,2026-06-30,06:04:32,nProcure,Gujarat,,https://tender.nprocure.com/dashboard/getTenderClosingData
328,315482,"Tender Notice No.5/2026-27, Sr.No.5 - Roads and Buildings-Roads and Buildings-Panchayat Division Amreli","Tender Notice No.5/2026-27, Sr.No.5",Roads and Buildings-Roads and Buildings-Panchayat Division Amreli,,2026-06-30,06:04:32,nProcure,Gujarat,,https://tender.nprocure.com/dashboard/getTenderClosingData
329,315481,"Tender Notice No.5/2026-27, Sr.No.4 - Roads and Buildings-Roads and Buildings-Panchayat Division Amreli","Tender Notice No.5/2026-27, Sr.No.4",Roads and Buildings-Roads and Buildings-Panchayat Division Amreli,,2026-06-30,06:04:32,nProcure,Gujarat,,https://tender.nprocure.com/dashboard/getTenderClosingData
330,315480,"Tender Notice No.5/2026-27, Sr.No.3 - Roads and Buildings-Roads and Buildings-Panchayat Division Amreli","Tender Notice No.5/2026-27, Sr.No.3",Roads and Buildings-Roads and Buildings-Panchayat Division Amreli,,2026-06-30,06:04:32,nProcure,Gujarat,,https://tender.nprocure.com/dashboard/getTenderClosingData
331,315478,"Tender Notice No.5/2026-27, Sr.No.2 - Roads and Buildings-Roads and Buildings-Panchayat Division Amreli","Tender Notice No.5/2026-27, Sr.No.2",Roads and Buildings-Roads and Buildings-Panchayat Division Amreli,,2026-06-30,06:04:32,nProcure,Gujarat,,https://tender.nprocure.com/dashboard/getTenderClosingData
332,315394,"Tender Notice No.5/2026-27, Sr.No.1 - Roads and Buildings-Roads and Buildings-Panchayat Division Amreli","Tender Notice No.5/2026-27, Sr.No.1",Roads and Buildings-Roads and Buildings-Panchayat Division Amreli,,2026-06-30,06:04:32,nProcure,Gujarat,,https://tender.nprocure.com/dashboard/getTenderClosingData
333,314738,8 (3rd Attempt) OF 2024 - 25 - Roads and Buildings-Roads and Buildings-Panchayat DIvision Ahwa-Dangs,8 (3rd Attempt) OF 2024 - 25,Roads and Buildings-Roads and Buildings-Panchayat DIvision Ahwa-Dangs,,2026-06-30,06:04:32,nProcure,Gujarat,,https://tender.nprocure.com/dashboard/getTenderClosingData
334,313287,47 (2nd Attempt) OF 2025 - 26 - Roads and Buildings-Roads and Buildings-Panchayat DIvision Ahwa-Dangs,47 (2nd Attempt) OF 2025 - 26,Roads and Buildings-Roads and Buildings-Panchayat DIvision Ahwa-Dangs,,2026-06-30,06:04:32,nProcure,Gujarat,,https://tender.nprocure.com/dashboard/getTenderClosingData
335,313265,47 (2nd Attempt) OF 2025 - 26 - Roads and Buildings-Roads and Buildings-Panchayat DIvision Ahwa-Dangs,47 (2nd Attempt) OF 2025 - 26,Roads and Buildings-Roads and Buildings-Panchayat DIvision Ahwa-Dangs,,2026-06-30,06:04:32,nProcure,Gujarat,,https://tender.nprocure.com/dashboard/getTenderClosingData
336,313177,43 (2nd Attempt) OF 2025 - 26 - Roads and Buildings-Roads and Buildings-Panchayat DIvision Ahwa-Dangs,43 (2nd Attempt) OF 2025 - 26,Roads and Buildings-Roads and Buildings-Panchayat DIvision Ahwa-Dangs,,2026-06-30,06:04:32,nProcure,Gujarat,,https://tender.nprocure.com/dashboard/getTenderClosingData
337,314035,2 FOR 2026-2027 S.N. -14 - Roads and Buildings-Roads and Buildings-Mehsana Division,2 FOR 2026-2027 S.N. -14,Roads and Buildings-Roads and Buildings-Mehsana Division,,2026-06-30,06:04:32,nProcure,Gujarat,,https://tender.nprocure.com/dashboard/getTenderClosingData
338,310347,NIT-48 of 2025-26 - Roads and Buildings-Roads and Buildings-Kheda R&B Division Nadiad,NIT-48 of 2025-26,Roads and Buildings-Roads and Buildings-Kheda R&B Division Nadiad,,2026-06-30,06:04:32,nProcure,Gujarat,,https://tender.nprocure.com/dashboard/getTenderClosingData
339,313837,"01 of 2026-27 - Roads and Buildings-Roads and Buildings-Jamanagar (R and B) Sub Division, Jamnagar",01 of 2026-27,"Roads and Buildings-Roads and Buildings-Jamanagar (R and B) Sub Division, Jamnagar",,2026-06-30,06:04:32,nProcure,Gujarat,,https://tender.nprocure.com/dashboard/getTenderClosingData
340,316681,05 OF 2026 - 27 (RE-INVITE) - Roads and Buildings-Roads and Buildings-Godhra Division,05 OF 2026 - 27 (RE-INVITE),Roads and Buildings-Roads and Buildings-Godhra Division,,2026-06-30,06:04:32,nProcure,Gujarat,,https://tender.nprocure.com/dashboard/getTenderClosingData
341,290458,39 OF 2025 - 26 (RE-INVITE) - Roads and Buildings-Roads and Buildings-Godhra Division,39 OF 2025 - 26 (RE-INVITE),Roads and Buildings-Roads and Buildings-Godhra Division,,2026-06-30,06:04:32,nProcure,Gujarat,,https://tender.nprocure.com/dashboard/getTenderClosingData
342,316296,Online Tender Notice No. 03 of 2026-27 - Roads and Buildings-Roads and Buildings-Electrical (RNB )Division- Valsad,Online Tender Notice No. 03 of 2026-27,Roads and Buildings-Roads and Buildings-Electrical (RNB )Division- Valsad,,2026-06-30,06:04:32,nProcure,Gujarat,,https://tender.nprocure.com/dashboard/getTenderClosingData
343,315385,01/02 of 2026/2027 - Roads and Buildings-Roads and Buildings-E.S.I. Elect. Sub Dn. Ahmedabad,01/02 of 2026/2027,Roads and Buildings-Roads and Buildings-E.S.I. Elect. Sub Dn. Ahmedabad,,2026-06-30,06:04:32,nProcure,Gujarat,,https://tender.nprocure.com/dashboard/getTenderClosingData
344,315366,01/01 of 2026/2027 - Roads and Buildings-Roads and Buildings-E.S.I. Elect. Sub Dn. Ahmedabad,01/01 of 2026/2027,Roads and Buildings-Roads and Buildings-E.S.I. Elect. Sub Dn. Ahmedabad,,2026-06-30,06:04:32,nProcure,Gujarat,,https://tender.nprocure.com/dashboard/getTenderClosingData
345,316702,04 of 2026-2027 - Roads and Buildings-Roads and Buildings-District R&B Vadodara,04 of 2026-2027,Roads and Buildings-Roads and Buildings-District R&B Vadodara,,2026-06-30,06:04:32,nProcure,Gujarat,,https://tender.nprocure.com/dashboard/getTenderClosingData
346,316697,04 of 2026-2027 - Roads and Buildings-Roads and Buildings-District R&B Vadodara,04 of 2026-2027,Roads and Buildings-Roads and Buildings-District R&B Vadodara,,2026-06-30,06:04:32,nProcure,Gujarat,,https://tender.nprocure.com/dashboard/getTenderClosingData
347,316696,04 of 2026-2027 - Roads and Buildings-Roads and Buildings-District R&B Vadodara,04 of 2026-2027,Roads and Buildings-Roads and Buildings-District R&B Vadodara,,2026-06-30,06:04:32,nProcure,Gujarat,,https://tender.nprocure.com/dashboard/getTenderClosingData
348,315177,05/04 OF 2026/2027 - Roads and Buildings-Roads and Buildings-Capital Project Electrical Division,05/04 OF 2026/2027,Roads and Buildings-Roads and Buildings-Capital Project Electrical Division,,2026-06-30,06:04:32,nProcure,Gujarat,,https://tender.nprocure.com/dashboard/getTenderClosingData
349,315175,05/03 OF 2026/2027 - Roads and Buildings-Roads and Buildings-Capital Project Electrical Division,05/03 OF 2026/2027,Roads and Buildings-Roads and Buildings-Capital Project Electrical Division,,2026-06-30,06:04:32,nProcure,Gujarat,,https://tender.nprocure.com/dashboard/getTenderClosingData
350,315172,05/02 OF 2026/2027 - Roads and Buildings-Roads and Buildings-Capital Project Electrical Division,05/02 OF 2026/2027,Roads and Buildings-Roads and Buildings-Capital Project Electrical Division,,2026-06-30,06:04:32,nProcure,Gujarat,,https://tender.nprocure.com/dashboard/getTenderClosingData
351,315170,05/01 OF 2026/2027 - Roads and Buildings-Roads and Buildings-Capital Project Electrical Division,05/01 OF 2026/2027,Roads and Buildings-Roads and Buildings-Capital Project Electrical Division,,2026-06-30,06:04:32,nProcure,Gujarat,,https://tender.nprocure.com/dashboard/getTenderClosingData
352,315833,25 FOR 2026-27 (4th Attempt) - Roads and Buildings-Roads and Buildings-Bhuj,25 FOR 2026-27 (4th Attempt),Roads and Buildings-Roads and Buildings-Bhuj,,2026-06-30,06:04:32,nProcure,Gujarat,,https://tender.nprocure.com/dashboard/getTenderClosingData
353,314318,Tender Notice No.03(2026-27) - Roads and Buildings-Roads and Buildings-Bhavnagar Electrical Division,Tender Notice No.03(2026-27),Roads and Buildings-Roads and Buildings-Bhavnagar Electrical Division,,2026-06-30,06:04:32,nProcure,Gujarat,,https://tender.nprocure.com/dashboard/getTenderClosingData
354,314284,Tender Notice No.03(2026-27) - Roads and Buildings-Roads and Buildings-Bhavnagar Electrical Division,Tender Notice No.03(2026-27),Roads and Buildings-Roads and Buildings-Bhavnagar Electrical Division,,2026-06-30,06:04:32,nProcure,Gujarat,,https://tender.nprocure.com/dashboard/getTenderClosingData
355,314225,Tender Notice No.03(2026-27) - Roads and Buildings-Roads and Buildings-Bhavnagar Electrical Division,Tender Notice No.03(2026-27),Roads and Buildings-Roads and Buildings-Bhavnagar Electrical Division,,2026-06-30,06:04:32,nProcure,Gujarat,,https://tender.nprocure.com/dashboard/getTenderClosingData
356,315114,03/02 OF 2026/2027 - Roads and Buildings-Roads and Buildings-AHMEDABAD ELECTRICAL DIVISION NO 2,03/02 OF 2026/2027,Roads and Buildings-Roads and Buildings-AHMEDABAD ELECTRICAL DIVISION NO 2,,2026-06-30,06:04:32,nProcure,Gujarat,,https://tender.nprocure.com/dashboard/getTenderClosingData
